Zip;City;State;Latitude;Longitude;Timezone;Daylight savings time flag;geopoint
98849;Riverside;WA;48.528793;-119.45276;-8;1;48.528793,-119.45276
99251;Spokane;WA;47.653568;-117.431742;-8;1;47.653568,-117.431742
98247;Everson;WA;48.900256;-122.32095;-8;1;48.900256,-122.32095
98004;Bellevue;WA;47.618371;-122.20308;-8;1;47.618371,-122.20308
98125;Seattle;WA;47.716648;-122.30308;-8;1;47.716648,-122.30308
98274;Mount Vernon;WA;48.371026;-122.24432;-8;1;48.371026,-122.24432
98103;Seattle;WA;47.671346;-122.34166;-8;1;47.671346,-122.34166
99140;Keller;WA;48.080515;-118.69498;-8;1;48.080515,-118.69498
98830;Mansfield;WA;47.880616;-119.54481;-8;1;47.880616,-119.54481
99167;Rice;WA;48.406582;-118.11029;-8;1;48.406582,-118.11029
99357;Royal City;WA;46.922079;-119.67175;-8;1;46.922079,-119.67175
98547;Grayland;WA;46.781978;-124.08111;-8;1;46.781978,-124.08111
98650;Trout Lake;WA;45.981582;-121.5395;-8;1;45.981582,-121.5395
98663;Vancouver;WA;45.647667;-122.66162;-8;1;45.647667,-122.66162
98267;Marblemount;WA;48.499159;-121.43163;-8;1;48.499159,-121.43163
99022;Medical Lake;WA;47.583754;-117.68812;-8;1;47.583754,-117.68812
98312;Bremerton;WA;47.564437;-122.71293;-8;1;47.564437,-122.71293
98687;Vancouver;WA;45.801586;-122.520347;-8;1;45.801586,-122.520347
98356;Morton;WA;46.562676;-122.29514;-8;1;46.562676,-122.29514
98063;Federal Way;WA;47.432251;-121.803388;-8;1;47.432251,-121.803388
98390;Sumner;WA;47.196364;-122.1887;-8;1;47.196364,-122.1887
98281;Point Roberts;WA;48.99201;-123.05047;-8;1;48.99201,-123.05047
99105;Benge;WA;46.866805;-118.13247;-8;1;46.866805,-118.13247
98019;Duvall;WA;47.7353;-121.96222;-8;1;47.7353,-121.96222
98386;Southworth;WA;47.51037;-122.499139;-8;1;47.51037,-122.499139
98548;Hoodsport;WA;47.446725;-123.21175;-8;1;47.446725,-123.21175
98563;Montesano;WA;47.034615;-123.60332;-8;1;47.034615,-123.60332
